Validating 505 problems with 120s timeout, 20 parallel workers...
  [1/505] 444: PASS |      101ms | ok
  924: got=0, expected=811141860, status=ok
  925: got=0, expected=400034379, status=ok
  927: got=None, expected=207282955, status=timeout
  928: got=None, expected=81108001093, status=timeout
  931: got=None, expected=128856311, status=no_output
  933: got=None, expected=5707485980743099, status=no_output
  935: got=None, expected=759908921637225, status=no_output
  936: got=None, expected=12144907797522336, status=timeout
  937: got=866599922, expected=792169346, status=ok
  938: got=None, expected=0.2928967987, status=timeout
  939: got=1149840452, expected=246776732, status=ok
  941: got=to compute positions in the de Bruijn sequence C(1, expected=1068765750, status=ok
  942: got=R(74207281) mod 1000000007 = 851239875, expected=557539756, status=ok
  943: got=Requires analysis of self-describing sequence stru, expected=1038733707, status=ok
  944: got=None, expected=1228599511, status=timeout
  945: got=Full solution requires optimization for N=10^7, expected=83357132, status=ok
  947: got=Full solution requires computing s(m) and S(M) for, expected=213731313, status=ok
  949: got=Requires complex game theory analysis - Stub, expected=726010935, status=ok
  950: got=Requires game theory and dynamic programming - Stu, expected=429162542, status=ok
  953: got=None, expected=176907658, status=timeout
  954: got=None, expected=736463823, status=timeout
  955: got=None, expected=6795261671274, status=no_output
  957: got=None, expected=234897386493229284, status=no_output
  958: got=None, expected=367554579311, status=no_output
  959: got=None, expected=0.857162085, status=timeout
  961: got=None, expected=166666666689036288, status=no_output
  964: got=0, expected=4.7126135532e-29, status=ok
  967: got=None, expected=357591131712034236, status=timeout
  968: got=None, expected=885362394, status=timeout
  972: got=None, expected=3575508, status=no_output
